D;K;O;DATA:;2024-12-12 00:00:00
"ESTROPO DE AÇO 1/2""";4.00;unid.;66.00;0.00
CINTA DE 5 ton;8.00;unid.;181.00;0.00
"MANILHA 1""";8.00;unid.;55.13;0.00
"MANILHA 5/8""";8.00;unid.;18.13;0.00
MARTELO ELÉTRICO 5 kg;1.00;unid.;2180.00;0.00
FURADEIRA SDS PLUS;2.00;unid.;480.00;0.00
PISTOLA DE CALAFETAGEM MAKITA Modelo - DCG180ZB completa com tubo 600 ml;2.00;unid.;1100.00;2200.00
KIT COM 2 BATERIAS E CARREGADOR ( 18V BI 1830 + DC18rc) MAKITA 220V;2.00;unid.;800.00;1600.00
TALHA ALAVANCA 3 ton;1.00;unid.;700.00;700.00
CARRINHO TIPO GIRICO;1.00;unid.;390.00;390.00
CARRINHO 4 RODAS;1.00;unid.;900.00;900.00
ESCORA METÁLICA   comprimento =;;unid.;;0.00
COLHER DE PEDREIRO;3.00;unid.;11.40;34.20
DESEMPENADEIRA DE AÇO;3.00;unid.;11.00;0.00
RÉGUA DE ALUMÍNIO 5 cm  comprimento= 2,00 m;3.00;unid.;24.00;0.00
ESPONJA ( CAMURÇA) 15x20 cm;10.00;unid.;25.00;0.00
MOTOR VIBRADOR À GASOLINA;2.00;unid.;1250.00;0.00
MANGOTE VIBRADOR 40 mm;2.00;unid.;756.00;0.00
TALHA ELÉTRICA de 150 a 300 kg  600W 220V;1.00;unid.;700.00;700.00
MÁQUINA DE EMPURRAR CABOS;0.00;unid.;;0.00
MACACO HIDRÁULICO 700 bar;0.00;unid.;;0.00
ADAPTADOR PARA TENSIONAMENTO JUNTO AO MACACO;0.00;unid.;;0.00
"LIXADEIRA 7""";2.00;unid.;499.00;0.00
DECAPADOR DE CABO À QUENTE;2.00;unid.;250.00;0.00
MÁQUINA DE INJEÇÃO COM TUBULAÇÃO;;unid.;;0.00
FLUTUADORES  -------------;;unid.;;0.00
TRINCHA ;3.00;unid.;8.00;24.00
"PINCEL 2 1/2""";10.00;unid.;6.00;0.00
BALDE PLÁSTICO;5.00;unid.;4.50;0.00
NA FÁBRICA;QUANT.;UNID.;Preço unit.;Preço Total
FORMAS METÁLICAS PARA PAINÉIS NORMAIS;;Verba;;0.00
FORMAS METÁLICAS PARA PAINEL FECHO;;Verba;;0.00
ESCORAS 1;;Verba;;0.00
ESCORAS 2;;Verba;;0.00
ESCORAS 3;;Verba;;0.00
ESCORAS 4;;Verba;;0.00
INVESTIMENTO DA LINHA / TREINAMENTO / VIAGEM ( PORTUGAL );1.00;Verba;1200000.00;1200000.00
MACACO DE PROTENSÃO NA FÁBRICA;1.00;Verba;111954.34;111954.34
MACACO DE  DESPROTENSÃO NA FÁBRICA;1.00;Verba;97500.00;97500.00
COMPRESSOR DE AR COMPRIMIDO;1.00;unid.;3000.00;3000.00
"LIXADEIRA 7""";2.00;unid.;499.00;998.00
MÁQUINA DE SOLDA ;1.00;unid.;1000.00;1000.00
MICROONDAS;1.00;unid.;500.00;500.00
BEBEDOURO;1.00;unid.;300.00;300.00
IMPRESSORA;1.00;unid.;700.00;700.00
PÓRTICO ROLANTE + TRILHOS TR 45;1.00;Verba;440000.00;440000.00
PRENSA PARA ROMPIMENTO DE CP;1.00;unid.;25500.00;25500.00
BALANCIM  7,5 m CAPAC. 20 ton;1.00;unid.;23000.00;23000.00
DISPOSITIVO DE PEGA PARA IÇAMENTO IRT GRANDE;6.00;unid.;1310.00;7860.00
CONTAINER PARA CANTEIRO;1.00;Verba;20000.00;20000.00
INFRAESTRUTURA PARA MONTAGEM DA LINHA ( CIVIL);1.00;Verba;340000.00;340000.00
MONTAGEM DA LINHA;1.00;Verba;230000.00;230000.00
CUSTO DA FORMA DE 1 LAJE;12500.00;;;
CUSTO DA FORMA DE 1 PILAR;12500.00;;;
CUSTO DA FORMA DE 1 VIGA;7500.00;;;
LAJE : AMORTIZAÇÃO EM 60:1;0.00;;;
PILAR : AMORTIZAÇÃO EM 30:1;0.00;;;
PILAR : AMORTIZAÇÃO EM 30:1;0.00;;;
